токен	IDF
булгур	4.605170
булгуром	4.605170
булдыжки	4.605170
булка	4.605170
булочек	3.912023
булочка	3.218876
булочками	0.116534
булочках	4.605170
булочке	3.912023
булочки	0.040822
булочных	4.605170
бульон	0.040822
бульона	3.912023
бульонах	4.605170
бульоне	3.912023
бульонные	4.605170
бульонов	4.605170
бульоном	4.605170
бульоны	0.116534
бумаги	4.605170
бумагой	4.605170
бумагу	4.605170
бумажки	4.605170
бура	4.605170
бургер	0.040822
бургеров	3.912023
бургером	4.605170
бургеры	0.127833
бурито	4.605170
бурятская	0.116534
бурятского	4.605170
бутерброд	0.116534
бутербродам	4.605170
бутербродами	4.605170
бутербродик	4.605170
бутербродов	2.813411
бутерброды	0.040822
бутонов	4.605170
бутылке	2.813411
бутылку	2.995732
бутылочке	2.995732
бутылочку	4.605170
бутыль	4.605170
бухгалтер	4.605170
буше	3.506558
бывает	2.407946
бывать	4.605170
бывают	2.995732
быстрая	3.506558
быстрее	2.525729
быстренько	3.218876
быстро	0.094311
быстрого	2.995732
быстрое	2.525729
быстрой	0.116534
быстрому	2.813411
быстрота	4.605170
быстротой	4.605170
быстроту	4.605170
быструю	4.605170
быстрые	1.832581
быстрый	0.105361
быстрым	3.912023
быстрыми	4.605170
быстрых	4.605170
бытовая	4.605170
быту	4.605170
бьет	3.506558
бьянка	4.605170
бэз	4.605170
бэй	4.605170
бюджет	4.605170
бюджетно	3.912023
бюджетный	3.218876
бяки	4.605170
бёдер	3.506558
бёдра	3.218876
бёдрами	3.506558
бёдрышки	4.605170
важная	4.605170
важно	4.605170
важную	3.912023
важные	0.116534
важный	4.605170
важных	4.605170
ваил	4.605170
вай	4.605170
валентина	4.605170
валентинов	4.605170
валлийская	0.116534
валсенбург	4.605170
вами	0.843970
ванили	3.912023
ванилин	1.609438
ваниль	3.218876
ванильная	4.605170
ванильные	4.605170
ванильный	1.427116
ванкувер	4.605170
вареная	3.506558
вареники	0.116534
вареников	2.659260
вареное	4.605170
вареной	3.218876
вареную	4.605170
вареный	4.605170
вареных	4.605170
варенье	0.040822
вареньем	4.605170
вариант	0.562119
варианта	2.659260
вариантах	4.605170
варианте	2.659260
вариантов	2.120264
вариантом	3.912023
варианту	4.605170
варианты	1.609438
вариации	2.813411
вариаций	3.218876
варила	4.605170
варится	3.912023
варить	3.912023
варке	2.659260
варки	2.407946
варьировать	4.605170
варю	3.912023
варёная	4.605170
варёное	4.605170
варёных	4.605170
васаби	3.912023
васильева	4.605170
васильковым	4.605170
ватапа	4.605170
ватерфорд	4.605170
ватрушка	4.605170
ватрушки	0.040822
вафли	0.040822
вах	4.605170
вахня	4.605170
ваш	1.309333
ваша	4.605170
ваше	1.897120
вашего	2.040221
вашей	0.040822
вашем	2.995732
вашему	1.560648
ваши	2.302585
вашим	2.040221
вашими	4.605170
ваших	2.040221
вбить	4.605170
введением	4.605170
введения	4.605170
введите	3.912023
вверх	4.605170
вверху	4.605170
ввести	4.605170
ввода	2.302585
вводя	0.040822
вгоняя	4.605170
вдвое	4.605170
вдоволь	3.912023
вдохновение	0.116534
вдохновением	0.116534
вдохновляйся	0.116534
вдруг	2.407946
вдумайтесь	4.605170
веганские	4.605170
веганское	4.605170
вегетарианец	4.605170
вегетарианские	0.127833
вегетарианское	0.116534
ведрами	4.605170
ведущей	4.605170
ведьма	4.605170
везде	4.605170
вездесущий	4.605170
везло	4.605170
века	2.207275
веке	3.912023
вековой	4.605170
велел	4.605170
велика	3.912023
великая	4.605170
великий	0.116534
велико	4.605170
великобритании	3.506558
великого	3.218876
великое	2.995732
великой	2.302585
великолепен	3.912023
великолепная	3.506558
великолепнейшеее	2.659260
великолепно	3.506558
великолепного	3.506558
великолепное	4.605170
великолепные	3.912023
великолепный	1.832581
великолепным	3.912023
величайшей	4.605170
величине	4.605170
величины	4.605170
венгерки	4.605170
венгерская	0.116534
венгерски	4.605170
венгерское	4.605170
венерик	2.120264
венок	4.605170
венские	4.605170
венчала	4.605170
венчиком	4.605170
веранде	4.605170
вере	3.506558
веревками	4.605170
верит	3.506558
верите	2.995732
верится	4.605170
вермишель	3.912023
вернее	2.995732
вернон	4.605170
вернули	4.605170
вернулись	3.218876
вернуться	4.605170
вероисповедания	4.605170
версии	3.506558
версий	4.605170
версию	3.218876
версия	2.407946
вертута	4.605170
верх	4.605170
верхом	4.605170
верю	3.218876
веса	3.912023
веселая	4.605170
весело	4.605170
веселой	4.605170
веселые	4.605170
веселым	4.605170
веселых	3.912023
весеннее	3.912023
весеннем	4.605170
весенние	0.051293
весенний	3.218876
весенних	4.605170
весна	0.116534
весне	4.605170
весной	3.912023
весну	3.218876
весны	0.116534
весом	4.605170
вест	4.605170
вести	4.605170
весёлкой	4.605170
весёлое	3.218876
веточек	4.605170
ветчина	1.469676
ветчинные	4.605170
ветчиной	2.813411
ветчину	4.605170
ветчины	0.105361
вечер	2.407946
вечера	4.605170
вечерам	4.605170
вечеринки	3.912023
вечерка	4.605170
вечернего	4.605170
вечеров	4.605170
вечером	2.407946
вечно	4.605170
вечном	4.605170
вешенки	4.605170
вещей	3.912023
веществ	3.912023
вещества	4.605170
веществами	4.605170
взаимодействия	4.605170
взбивании	4.605170
взбивания	3.912023
взбивать	2.995732
взбитого	4.605170
взбитые	4.605170
взбитый	3.912023
взбитым	4.605170
взбить	3.218876
взвешивала	4.605170
взгляд	1.427116
взмахом	4.605170
взрослым	3.912023
взрослых	2.995732
взрыв	2.995732
взял	2.813411
взяла	2.525729
взяли	4.605170
взят	2.207275
взята	3.912023
взяты	4.605170
взятые	4.605170
взять	2.207275
вивальди	4.605170
вид	2.207275
вида	2.813411
видам	4.605170
видами	4.605170
видать	4.605170
виде	1.171183
видев	4.605170
видела	3.506558
видео	0.116534
видеорецепты	0.301105
видеть	4.605170
видишь	4.605170
видно	3.506558
видов	3.506558
виду	2.995732
виды	4.605170
вижу	3.912023
визите	4.605170
визитёров	4.605170
вика	3.506558
виколь	4.605170
викторвилл	3.912023
викторина	3.912023
викторины	4.605170
вил	4.605170
вилками	4.605170
вилки	4.605170
вилкой	4.605170
вилок	4.605170
вин	4.605170
вина	3.912023
винегрета	4.605170
винелэнд	4.605170
винни	4.605170
винную	4.605170
вино	0.040822
виноград	4.605170
винограда	4.605170
виноградное	4.605170
виноградом	4.605170
вину	3.506558
вирджиния	4.605170
виртуоз	4.605170
витает	4.605170
витали	3.912023
витаминами	4.605170
витаминки	4.605170
витаминных	4.605170
витаминов	3.912023
витамины	4.605170
витина	3.912023
виченце	4.605170
вишнево	4.605170
вишневый	3.912023
вишней	3.506558
вишни	3.506558
вишня	2.040221
включающих	0.634878
включая	4.605170
включила	4.605170
включить	3.912023
вконтакте	3.912023
вкраплениями	3.506558
вксуное	4.605170
вкус	0.105361
вкуса	0.116534
вкусам	4.605170
вкусами	4.605170
вкусе	3.912023
вкусен	1.560648
вкусна	4.605170
вкусная	0.061875
вкуснее	0.116534
вкусней	0.116534
вкуснейшая	2.813411
вкуснейшее	4.605170
вкуснейшей	4.605170
вкуснейшие	2.120264
вкуснейший	3.912023
вкуснейшим	4.605170
вкуснейшую	4.605170
вкусненькие	3.912023
вкусненько	4.605170
вкусненького	3.912023
вкусно	0.094311
вкусного	2.207275
вкусное	0.994252
вкусной	1.609438
вкусном	3.506558
вкуснооо	4.605170
вкусности	3.506558
вкусностью	4.605170
вкуснотищу	3.218876
вкусную	2.207275
вкусные	0.105361
вкусный	0.385662
вкусным	1.049822
вкусными	2.302585
вкусных	1.897120
вкуснючих	4.605170
вкуснятина	3.218876
вкуснятину	2.995732
вкуснятины	3.912023
вкусняшные	4.605170
вкусов	3.218876
вкусовому	4.605170
вкусовые	3.912023
вкусовым	3.912023
вкусовыми	4.605170
вкусовых	3.912023
вкусом	0.105361
вкусу	1.272966
вкусы	2.120264
вкууууусно	3.912023
вкуууууусно	4.605170
владикавказ	4.605170
владимировн	4.605170
влажные	4.605170
влажный	3.912023
влажным	3.506558
вливать	4.605170
влить	3.218876
влюбилась	1.832581
влюбились	2.120264
влюбленных	0.116534
влюблены	4.605170
влюблённых	4.605170
вместе	0.916291
вместо	2.407946
вначале	0.248461
вне	3.912023
внесет	4.605170
внесла	2.995732
внешне	3.912023
внешнему	4.605170
внешний	4.605170
вниз	4.605170
внимание	2.813411
вниманием	4.605170
вниманию	1.609438
внимания	2.995732
внимательно	2.995732
внимаю	4.605170
внуков	4.605170
внутренне	4.605170
внутренним	4.605170
внутри	1.469676
внучка	4.605170
внучке	4.605170
внучки	4.605170
внучкой	4.605170
внушительной	4.605170
во	0.061875
вобщем	4.605170
вовнутрь	4.605170
вовременных	4.605170
вовсе	3.912023
вовсю	4.605170
вода	0.287682
воде	0.105361
водичка	4.605170
водка	2.302585
водке	4.605170
водой	2.525729
водочке	4.605170
водочку	4.605170
воду	3.218876
воды	2.813411
водяной	4.605170
возбудить	4.605170
возбуждающим	4.605170
возвращался	2.995732
возвращаясь	4.605170
воздуха	4.605170
воздухе	3.912023
воздушная	3.912023
воздушное	4.605170
воздушной	4.605170
воздушную	3.218876
воздушные	4.605170
воздушный	2.207275
воздушным	4.605170
воздушными	2.995732
возиться	3.912023
возможно	1.469676
возможности	2.813411
возможность	2.407946
вознаграждены	4.605170
возни	3.912023
возникало	4.605170
возникают	4.605170
возникли	3.218876
возникнут	4.605170
возразит	3.218876
возрастанию	4.605170
возрождения	4.605170
возьму	4.605170
возьмутся	4.605170
войне	4.605170
войсках	4.605170
войти	0.000000
волей	4.605170
волновал	2.407946
волну	4.605170
волованах	4.605170
волованы	0.116534
волхвов	4.605170
волшебная	2.659260
волшебно	2.525729
волшебном	4.605170
волшебную	3.218876
волшебные	0.116534
волшебных	3.912023
волшебства	4.605170
волшебство	0.116534
вольчека	4.605170
вообще	1.386294
воодушевлением	4.605170
вооружение	3.912023
вооружённых	4.605170
воплотила	4.605170
воплощения	4.605170
вопрос	1.771957
вопроса	4.605170
вопросам	4.605170
вопросах	4.605170
вопросов	4.605170
вопросом	4.605170
вопросы	0.000000
воронежский	4.605170
воронежского	4.605170
восемь	4.605170
воскресенье	4.605170
воскресная	4.605170
воскресного	2.407946
воспевалось	4.605170
воспользовавшись	2.302585
воспользоваться	3.506558
воспользуетесь	3.506558
воспоминание	3.218876
воспоминанием	3.912023
воспоминаний	4.605170
воспоминания	3.912023
воспоминаниями	4.605170
восприму	3.506558
воспроизвести	4.605170
востока	4.605170
востоке	3.506558
восторг	2.813411
восторге	1.469676
восточная	0.127833
восточного	3.912023
восточной	4.605170
восточном	3.912023
восточному	3.912023
восточную	4.605170
восточными	4.605170
восточных	4.605170
востребованы	4.605170
восхитительна	4.605170
восхитительнейший	4.605170
восхитительно	3.912023
восхитительной	4.605170
восхитительны	3.218876
восхитительные	4.605170
восхитительный	3.218876
восхитительным	4.605170
восход	4.605170
восьми	4.605170
вошли	4.605170
впервые	1.560648
вперед	4.605170
впереди	2.407946
впечатление	2.813411
впечатлением	4.605170
впечатлениями	3.912023
впечатлил	4.605170
впечатлила	3.506558
впечатляет	4.605170
вписала	4.605170
вписываются	4.605170
впитавшие	4.605170
впитает	4.605170
впитать	3.912023
впитывает	4.605170
впитывают	3.506558
впишется	4.605170
вполне	2.813411
вправе	4.605170
впрок	2.813411
впрочем	3.912023
врасплох	4.605170
вращательным	4.605170
вреда	3.912023
времен	4.605170
времена	0.116534
временем	0.116534
времени	0.967584
временных	3.912023
время	0.400478
вроде	1.897120
врут	2.407946
вряд	4.605170
всевозможных	2.813411
всегда	0.653926
всего	0.186330
всей	0.105361
вселенной	4.605170
всеми	2.525729
всемирной	4.605170
всемирную	4.605170
всему	0.061875
вслепую	3.912023
вспоминаешь	4.605170
вспоминать	3.506558
вспоминая	3.912023
вспомнил	3.912023
вспомнила	3.506558
вспомнилась	4.605170
вспомните	3.218876
вспомнить	0.040822
вставал	4.605170
вставать	4.605170
вставки	2.407946
вставлю	4.605170
встретила	4.605170
встретился	4.605170
встретится	4.605170
встретить	3.912023
встретиться	3.506558
встречается	4.605170
встречал	4.605170
встречала	3.506558
встречали	2.995732
встречать	3.506558
встречаются	4.605170
встречи	3.506558
встречу	4.605170
вступает	4.605170
вступайте	2.407946
всю	1.966113
всякие	3.912023
всяких	3.218876
всякого	3.506558
всякое	3.912023
всякой	3.912023
всякую	4.605170
всяческих	4.605170
всём	4.605170
вторая	3.506558
вторник	3.912023
второго	4.605170
второе	0.116534
второй	2.813411
второму	4.605170
вторую	3.912023
вторые	0.127833
вторым	3.218876
вторых	2.407946
втрое	4.605170
ву	4.605170
вуаля	3.506558
вулканчики	4.605170
вход	0.030459
входили	4.605170
входило	4.605170
входит	3.506558
входят	3.912023
вчера	2.040221
вчерашние	4.605170
выбирайте	4.605170
выбираться	3.912023
выбираю	4.605170
выбирают	4.605170
выбор	2.995732
выборе	4.605170
выбраживания	4.605170
выбрала	3.912023
выбрасывать	3.912023
выбрать	4.605170
вываривалась	4.605170
выведала	4.605170
выведать	3.506558
вывела	4.605170
выглядеть	2.302585
выглядит	2.120264
выглядя	4.605170
выглядят	4.605170
выгнать	4.605170
выгодно	4.605170
выдавливания	4.605170
выдает	3.912023
выдал	4.605170
выдан	2.525729
выданных	2.995732
выдаются	4.605170
выдающий	4.605170
выделили	4.605170
выезда	4.605170
выехать	4.605170
выждать	3.912023
выжившие	4.605170
вызванное	4.605170
выйти	0.040822
выкипела	4.605170
выкладываемый	4.605170
выкладывается	3.506558
выкладывала	3.218876
выкладывать	2.659260
выкладываю	2.407946
выкладывают	4.605170
выливать	4.605170
вылить	3.912023
выложено	3.506558
выложил	4.605170
выложила	4.605170
выложите	4.605170
выложить	2.302585
вымакивать	4.605170
вымешивать	4.605170
выносили	2.525729
выносливых	3.912023
вынуть	3.912023
выпадает	4.605170
выпекаем	4.605170
выпекаемой	4.605170
выпекала	4.605170
выпекать	3.912023
выпечка	0.040822
выпечке	2.659260
выпечки	0.072571
выпечкой	0.116534
выпечку	2.813411
выпечных	4.605170
выпечь	3.912023
выполняю	4.605170
выпросила	2.525729
выпуска	3.506558
выражаю	3.912023
выражение	4.605170
выражением	4.605170
выражения	4.605170
выраженный	3.912023
выраженным	4.605170
выращиваем	4.605170
выращивают	4.605170
вырезав	4.605170
вырезки	4.605170
вырос	3.912023
выручает	3.912023
выручал	3.218876
